"","x"
"1","Tragoportax amalthea"
"2","Felis manul"
"3","Herpestes edwardsi"
"4","Herpestes javanicus"
"5","Amblonyx cinereus"
"6","Meles canescens"
"7","Mustela vison"
"8","Barbastella caspica"
"9","Myotis hoveli"
"10","Myotis tschuliensis"
"11","Nycticeinops grandidieri"
"12","Macropus robustus"
"13","Macropus rufogriseus"
"14","Erimaceus roumanicus"
"15","Equus przewalskii"
"16","Acrocodia indica"
"17","Arvicola cantiana"
"18","Chionomys nivalis"
"19","Cricetulus migratorius"
"20","Microtus bavaricus"
"21","Microtus brandti"
"22","Microtus gerbei"
"23","Microtus gregalis"
"24","Microtus levis"
"25","Microtus middendorffi"
"26","Microtus oeconomus"
"27","Myodes centralis"
"28","Myodes glareolus"
"29","Myodes rufocanus"
"30","Myodes rutilus"
"31","Allactaga elater"
"32","Allactaga euphratica"
"33","Allactaga williamsi"
"34","Erethizon dorsatus"
"35","Tamias sibiricus"
"36","Spalax ehrenbergi"
"37","Spalax leucodon"
"38","Crocidura ichnusae"
"39","Diplomesodon pulchellum"
